,Date,Project ID(S),Vintage(S),BeZero Carbon Rating(S),SylveraRating(S),Normalised_Rating
2,2023-07-14 16:00:00,1764,2020,AA(rw),,
5,2023-07-14 16:00:00,1218,2015,BB,BB,0.5
7,2023-07-14 16:00:00,981,2017,C,,0.25
11,2023-07-14 16:00:00,929,2017,C(rw),,
13,2023-07-14 16:00:00,832,2007,C(rw),,
14,2023-07-14 16:00:00,620,2001,B,,0.375
17,2023-07-14 16:00:00,1718,2013,BB(rw),,
22,2023-07-14 16:00:00,1162,2016,BBB(rw),,
23,2023-07-14 16:00:00,10,2014,C,C,0.25
24,2023-07-14 16:00:00,499,2012,B,,0.375
26,2023-07-14 16:00:00,1444,2020,B,,0.375
29,2023-07-14 16:00:00,1953,2017,,A,0.75
31,2023-07-14 16:00:00,875,2013,,A,0.75
32,2023-07-14 16:00:00,GS7071,2020,B,,0.375
35,2023-07-14 16:00:00,GS7312,2021,BB,,0.5
37,2023-07-14 16:00:00,GS1017,2019,B,,0.375
39,2023-07-14 16:00:00,1753,2019,B,,0.375
42,2023-07-14 16:00:00,1389,2016,A(rw),,
43,2023-07-14 16:00:00,487,2016,BB,,0.5
45,2023-07-14 16:00:00,1742,2017,B,D,0.25
46,2023-07-14 16:00:00,2342,2021,B,,0.375
47,2023-07-14 16:00:00,3279,2020,C,,0.25
49,2023-07-14 16:00:00,2478,2018,BBB,,0.625
52,2023-07-14 16:00:00,2539,2020,,BB,0.5
55,2023-07-14 16:00:00,2252,2017,B(rw),,
60,2023-07-14 16:00:00,1728,2017,B,,0.375
64,2023-07-14 16:00:00,173,2015,B,,0.375
67,2023-07-14 16:00:00,817,2016,B,,0.375
69,2023-07-14 16:00:00,2358,2020,BB,,0.5
71,2023-07-14 16:00:00,494,2009,C,,0.25
73,2023-07-14 16:00:00,1121,2019,B,,0.375
75,2023-07-14 16:00:00,1935,2015,BBB(rw),,
77,2023-07-14 16:00:00,1867,2021,C,,0.25
79,2023-07-14 16:00:00,1522,2021,B,,0.375
80,2023-07-14 16:00:00,1931,2020,B,,0.375
81,2023-07-14 16:00:00,1786,2019,B,,0.375
85,2023-07-14 16:00:00,1113,2014,BB,,0.5
86,2023-07-14 16:00:00,1650,2017,BBB,AA,0.75
87,2023-07-14 16:00:00,1566,2016,B,A,0.5625
88,2023-07-14 16:00:00,2087,2017,BB(rw),,
89,2023-07-14 16:00:00,2082,2016,BB(rw),,
91,2023-07-14 16:00:00,1382,2017,BBB,BBB,0.625
96,2023-07-14 16:00:00,902,2017,BBB(rw),C,0.25
99,2023-07-14 16:00:00,1329,2013,C(rw),D,0.125
100,2023-07-14 16:00:00,674,2018,AA,,0.875
101,2023-07-14 16:00:00,934,2018,BB,BBB,0.5625
102,2023-07-14 16:00:00,2293,2017,C,BB,0.375
103,2023-07-14 16:00:00,844,2019,C,B,0.3125
104,2023-07-14 16:00:00,903,2019,B,,0.375
105,2023-07-14 16:00:00,1748,2018,B(rw),,
106,2023-07-14 16:00:00,1115,2018,,C,0.25
